3z 150 mg, pó para suspensão oral, 150 mg
3z 200 mg, pó para suspensão oral, 200 mg
3z 250 mg, pó para suspensão oral, 250 mg
3z 500 mg, pó para suspensão oral, 500 mg
AAS 150, 150 mg
Lercanidipina Sandoz, 20 mg
Lercanidipina Zentiva, 10 mg
Lercanidipina Zentiva, 20 mg
Lergonix, 10 mg
Lergonix, 2.5 mg/ml
Lergonix, 20 mg
Lescol XL, 80 mg
Lescol, 20 mg
Lescol, 40 mg
Lesten, 20 mg + 12.5 mg
Letrozol Accord, 2.5 mg
Letrozol Azevedos, 2.5 mg
Letrozol Ebrocite, 2.5 mg
Letrozol Farmoz, 2.5 mg
Letrozol Generis, 2.5 mg
Letrozol Mylan, 2.5 mg
Letrozol Pharmacare, 2.5 mg
Letrozol Pharmakern, 2.5 mg
Letrozol Stada, 2.5 mg
Letrozol Teva, 2.5 mg
Letter, 0.05 mg
Letter, 0.1 mg
Leukeran, 2 mg
Levemir, 100 U/ml
Levetiracetam Accord, 1000 mg
Levetiracetam Accord, 250 mg
Levetiracetam Accord, 500 mg
Levetiracetam Actavis Group, 100 mg/ml
Levetiracetam Actavis, 1000 mg
Levetiracetam Actavis, 250 mg
Levetiracetam Actavis, 500 mg
Levetiracetam Alter, 100 mg/ml
Levetiracetam Alter, 1000 mg
Levetiracetam Alter, 250 mg
Levetiracetam Alter, 500 mg
Levetiracetam Aurobindo, 1000 mg
Levetiracetam Aurobindo, 250 mg
Levetiracetam Aurobindo, 500 mg
Levetiracetam Aurovitas, 100 mg/ml
Levetiracetam Aurovitas, 1000 mg
Levetiracetam Aurovitas, 250 mg
Levetiracetam Aurovitas, 500 mg
Levetiracetam Bluefish, 100 mg/ml
Levetiracetam Bluefish, 1000 mg
Levetiracetam Bluefish, 250 mg
Levetiracetam Bluefish, 500 mg
Levetiracetam Bluepharma, 100 mg/ml
Levetiracetam Bluepharma, 1000 mg
Levetiracetam Bluepharma, 250 mg
Levetiracetam Bluepharma, 500 mg
Levetiracetam Bluepharma, 750 mg
Levetiracetam Ciclum, 100 mg/ml
Levetiracetam Ciclum, 1000 mg
Levetiracetam Ciclum, 250 mg
Levetiracetam Ciclum, 500 mg
Levetiracetam Cinaz, 100 mg/ml
Levetiracetam Cinaz, 1000 mg
Levetiracetam Cinaz, 250 mg
Levetiracetam Cinaz, 500 mg
Levetiracetam Cinaz, 750 mg
Levetiracetam Cinfa, 100 mg/ml
Levetiracetam Cinfa, 1000 mg
Levetiracetam Cinfa, 250 mg
Levetiracetam Cinfa, 500 mg
Levetiracetam Farmoz, 100 mg/ml
Levetiracetam Farmoz, 1000 mg
Levetiracetam Farmoz, 250 mg
Levetiracetam Farmoz, 500 mg
Levetiracetam Generis, 100 mg/ml
Levetiracetam Generis, 1000 mg
Levetiracetam Generis, 250 mg
Levetiracetam Generis, 500 mg
Levetiracetam Hospira, 100 mg/ml
Levetiracetam Jaba, 100 mg/ml
Levetiracetam Jaba, 1000 mg
Levetiracetam Jaba, 250 mg
Levetiracetam Jaba, 500 mg
Levetiracetam Krka, 1000 mg
Levetiracetam Krka, 250 mg
Levetiracetam Krka, 500 mg
Levetiracetam Mylan, 100 mg/ml
Levetiracetam Mylan, 1000 mg
Levetiracetam Mylan, 250 mg
Levetiracetam Mylan, 500 mg
Levetiracetam ratiopharm, 100 mg/ml
Levetiracetam ratiopharm, 1000 mg
Levetiracetam ratiopharm, 250 mg
Levetiracetam ratiopharm, 500 mg
Levetiracetam Sandoz, 100 mg/ml
Levetiracetam Sandoz, 1000 mg
Levetiracetam Sandoz, 250 mg
Levetiracetam Sandoz, 500 mg
Levetiracetam Tarmix, 100 mg/ml
Levetiracetam Tarmix, 1000 mg
Levetiracetam Tarmix, 250 mg
Levetiracetam Tarmix, 500 mg
Levetiracetam Tecnigen, 100 mg/ml
Levetiracetam Tecnigen, 1000 mg
Levetiracetam Tecnigen, 250 mg
Levetiracetam Tecnigen, 500 mg
Levetiracetam Teva, 100 mg/ml
Levetiracetam Teva, 1000 mg
Levetiracetam Teva, 250 mg
Levetiracetam Teva, 500 mg
Levetiracetam Tirbas, 100 mg/ml
Levetiracetam Tirbas, 1000 mg
Levetiracetam Tirbas, 250 mg
Levetiracetam Tirbas, 500 mg
Levetiracetam Tolife, 100 mg/ml
Levetiracetam Tolife, 1000 mg
Levetiracetam Tolife, 250 mg
Levetiracetam Tolife, 500 mg
Levetiracetam UCB, 100 mg/ml
Levetiracetam UCB, 1000 mg
Levetiracetam UCB, 250 mg
Levetiracetam UCB, 500 mg
Levetiracetam Zentiva, 100 mg/ml
Levetiracetam Zentiva, 1000 mg
Levetiracetam Zentiva, 250 mg
Levetiracetam Zentiva, 500 mg
Levitra, 10 mg
Levitra, 20 mg
Levitra, 5 mg
Levocetirizina Aurovitas, 5 mg
Levocetirizina Bluefish, 5 mg
Levocetirizina Ciclum, 5 mg
Levocetirizina CInfa, 5 mg
Levocetirizina Fair-Med, 5 mg
Levocetirizina Generis, 5 mg
Levocetirizina Krka, 5 mg
Levocetirizina Labesfal, 5 mg
Levocetirizina ratiopharm, 5 mg
Levocetirizina Sandoz, 5 mg
Levocetirizina Tolife, 5 mg
Levocetirizina Wynn, 5 mg
Levocetirizina Zentiva, 5 mg
Levodonna, 1.5 mg
Levodopa + Carbidopa + Entacapona Aurovitas, 100 mg + 25 mg + 200 mg
Levodopa + Carbidopa + Entacapona Aurovitas, 150 mg + 37.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Aurovitas, 200 mg + 50 mg + 200 mg
Levodopa + Carbidopa + Entacapona Aurovitas, 50 mg + 12.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ciclum, 100 mg + 25 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ciclum, 150 mg + 37.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ciclum, 200 mg + 50 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ciclum, 50 mg + 12.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Farmoz, 100 mg + 25 mg + 200 mg
Levodopa + Carbidopa + Entacapona Farmoz, 150 mg + 37.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Farmoz, 200 mg + 50 mg + 200 mg
Levodopa + Carbidopa + Entacapona Farmoz, 50 mg + 12.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Generis, 100 mg + 25 mg + 200 mg
Levodopa + Carbidopa + Entacapona Generis, 125 mg + 31.25 mg + 200 mg
Levodopa + Carbidopa + Entacapona Generis, 150 mg + 37.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Generis, 175 mg + 43.75 mg + 200 mg
Levodopa + Carbidopa + Entacapona Generis, 200 mg + 50 mg + 200 mg
Levodopa + Carbidopa + Entacapona Generis, 50 mg + 12.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Generis, 75 mg + 18.75 mg + 200 mg
Levodopa + Carbidopa + Entacapona Pentafarma, 100 mg + 25 mg + 200 mg
Levodopa + Carbidopa + Entacapona Pentafarma, 150 mg + 37.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Pentafarma, 200 mg + 50 mg + 200 mg
Levodopa + Carbidopa + Entacapona Pentafarma, 50 mg + 12.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ratiopharm, 100 mg + 25 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ratiopharm, 125 mg + 31.25 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ratiopharm, 150 mg + 37.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ratiopharm, 200 mg + 50 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ratiopharm, 50 mg + 12.5 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ratiopharm, 75 mg + 18.75 mg + 200 mg
Levodopa + Carbidopa Fair-Med, 100 mg + 25 mg
Levodopa + Carbidopa Fair-Med, 250 mg + 25 mg
Levodopa + Carbidopa Labesfal, 200 mg + 50 mg
Levodopa + Carbidopa Mylan, 100 mg + 25 mg
Levodopa + Carbidopa Mylan, 250 mg + 25 mg
Levofloxacina Almus, 250 mg
Levofloxacina Almus, 500 mg
Levofloxacina Aristo, 250 mg
Levofloxacina Aristo, 500 mg
Levofloxacina Aurovitas, 250 mg
Levofloxacina Aurovitas, 500 mg
Levofloxacina Basi, 250 mg
Levofloxacina Basi, 500 mg
Levofloxacina Bluepharma, 250 mg
Levofloxacina Bluepharma, 500 mg
Levofloxacina Ciclum, 250 mg
Levofloxacina Ciclum, 500 mg
Levofloxacina Cinfa, 250 mg
Levofloxacina Cinfa, 500 mg
Levofloxacina Farmoz 250 mg Comprimidos, 250 mg
Levofloxacina Farmoz 500 mg Comprimidos, 500 mg
Levofloxacina Generis, 250 mg
Levofloxacina Generis, 500 mg
Levofloxacina Krka, 250 mg
Levofloxacina Krka, 500 mg
Levofloxacina Loxadin 250 mg Comprimidos, 250 mg
Levofloxacina Loxadin 500 mg Comprimidos, 500 mg
Levofloxacina Mylan, 250 mg
Levofloxacina Mylan, 500 mg
Levofloxacina Optacare, 5 mg/ml
Levofloxacina Pharmakern, 250 mg
Levofloxacina Pharmakern, 500 mg
Levofloxacina Rafarm, 5 mg/ml
Levofloxacina Teva, 250 mg
Levofloxacina Teva, 500 mg
Levofloxacina Tolife, 250 mg
Levofloxacina Tolife, 500 mg
Levofolinato de Cálcio Farmoz, 12.5 mg
Levofolinato de Cálcio Farmoz, 2.5 mg
Levofolinato de Cálcio Farmoz, 5 mg
Levofolinato de Cálcio Farmoz, 7.5 mg
Levonorgestrel Mylan, 1.5 mg
Levonorgestrel Teva, 1.5 mg
Levosert, 20 µg/24 h
Levotiroxina sódica Ratiopharm, 0.025 mg
Levotiroxina sódica Ratiopharm, 0.05 mg
Levotiroxina sódica Ratiopharm, 0.075 mg
Levotiroxina sódica Ratiopharm, 0.1 mg
Levotiroxina sódica Ratiopharm, 0.125 mg
Levotiroxina sódica Ratiopharm, 0.15 mg
Levotiroxina sódica Ratiopharm, 0.175 mg
Levotiroxina sódica Ratiopharm, 0.2 mg
Levotuss, 6 mg/ml
Levotuss, 60 mg
Levotuss, 60 mg/ml
Levrix, 5 mg
Lexotan, 1.5 mg
Lexotan, 3 mg
Lexotan, 6 mg
Libeli, 2 mg + 0.03 mg
Librax, 5 mg + 2.5 mg
Licobondrat, 150 mg
Lidazon, 1.25 mg + 1 mg
Liderfen, 50 mg/g
Lidina, 0.125 mg/0.5 ml
Lidocaína Ferndale Pharmaceuticals, 40 mg/g
Lidofon, 1 mg + 5 mg
Lidoject, 20 mg/g
Lidonostrum Bomba-Spray 10%, 100 mg/ml
Lidonostrum Gele 2%, 20 mg/g
Lidonostrum, 20 mg/ml
Lidonostrum, 50 mg/g
Ligynax, 10 mg/g
Limeciclina Atral, 408 mg
Linospro, 50 mg/ml
Lioresal, 10 mg
Lioresal, 25 mg
Lipanor, 100 mg
Lipdaune, 20 mg
Lipocomb, 10 mg + 10 mg
Lipocomb, 20 mg + 10 mg
Lipofen, 100 mg
Liposic, 2 mg/g
Lipovir, 50 mg/g
Lipril 20, 20 mg
Lipril 5, 5 mg
Lipus, 20 mg
Lisaspin 1000, 1800 mg
Lisaspin 500, 900 mg
Lisinopril + Hidroclorotiazida Anova, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Aurovitas, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Azevedos, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Basi, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Bluepharma, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Ciclum, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Generis 20 mg + 12,5 mg Comprimidos, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Jaba 20 mg + 12,5 mg Comprimidos, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Labesfal 20 mg + 12.5 mg Comprimidos, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Mepha, 20 mg + 12.5 mg
Lisinopril + hidroclorotiazida Mylan, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida ratiopharm, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Sandoz 20 mg + 12,5 mg Comprimidos, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida toLife 20 mg + 12,5 mg Comprimidos, 20 mg + 12.5 mg
Lisinopril + Hidroclorotiazida Vitória, 20 mg + 12.5 mg
Lisinopril Aurovitas, 20 mg
Lisinopril Aurovitas, 5 mg
Lisinopril Azevedos, 20 mg
Lisinopril Azevedos, 5 mg
Lisinopril Basi, 20 mg
Lisinopril Basi, 5 mg
Lisinopril Bluepharma, 20 mg
Lisinopril Bluepharma, 5 mg
Lisinopril Ciclum, 20 mg
Lisinopril Ciclum, 5 mg
Lisinopril Cinfa, 20 mg
Lisinopril Cinfa, 5 mg
Lisinopril Fresenius Kabi 20 mg Comprimidos, 20 mg
Lisinopril Fresenius Kabi 5 mg Comprimidos, 5 mg
Lisinopril Generis 20 mg Comprimidos, 20 mg
Lisinopril Generis 5 mg Comprimidos, 5 mg
Lisinopril Germed 20 mg Comprimidos, 20 mg
Lisinopril Germed 5 mg Comprimidos, 5 mg
Lisinopril GP, 20 mg
Lisinopril GP, 5 mg
Lisinopril Jaba 20 mg Comprimidos, 20 mg
Lisinopril Jaba 5 mg Comprimidos, 5 mg
Lisinopril Labesfal 20 mg Comprimidos, 20 mg
Lisinopril Labesfal 5 mg Comprimidos, 5 mg
Lisinopril Mepha 20 mg Comprimidos, 20 mg
Lisinopril Mepha 5 mg Comprimidos, 5 mg
Lisinopril Mylan, 20 mg
Lisinopril Mylan, 5 mg
Lisinopril Ratiopharm 20 mg Comprimidos, 20 mg
Lisinopril Ratiopharm 5 mg Comprimidos, 5 mg
Lisinopril Sandoz, 20 mg
Lisinopril Sandoz, 5 mg
Lisinopril toLife 20 mg Comprimidos, 20 mg
Lisinopril toLife 5 mg Comprimidos, 5 mg
Lisinopril Zentiva, 20 mg
Lisinopril Zentiva, 5 mg
Lisomucin, 1.6 mg/ml
Lisomucin, 2 mg/ml
Lisonorm, 20 mg + 10 mg
Lisonorm, 20 mg + 5 mg
Lisopan 1000, 1000 mg
Lisopan 500, 500 mg
Livazo, 1 mg
Livazo, 2 mg
Livazo, 4 mg
Livetan, 500 mg
Livial, 2.5 mg
Livixon, 50 mg/g
Lixiana, 15 mg
Lixiana, 30 mg
Lixiana, 60 mg
Lixim, 70 mg
Locetar EF, 50 mg/ml
Locetar, 2.5 mg/g
Locoid Capilar, 1 mg/ml
Locoid Crelo, 1 mg/g
Locoid Lipocreme, 1 mg/g
Locoid, 1 mg/g
Lomexin, 20 mg/g
Lomexin, 20 mg/ml
Lomexin, 200 mg
Lomir Sro, 5 mg
Loperamida Generis, 2 mg
Loperamida Mylan, 2 mg
Loperamida Ratiopharm, 2 mg
Loperamida Stada, 2 mg
Lopid 600, 600 mg
Lopid, 300 mg
Lopiretic, 50 mg + 25 mg
Lopresor 100, 100 mg
Lopresor 200, 200 mg
Loratadina 1Apharma, 10 mg
Loratadina Aurovitas, 10 mg
Loratadina Basi, 10 mg
Loratadina Crizin, 10 mg
Loratadina Generis, 10 mg
Loratadina Germed, 10 mg
Loratadina Labesfal, 10 mg
Loratadina Mylan, 1 mg/ml
Loratadina Mylan, 10 mg
Loratadina Ratiopharm, 10 mg
Lorazepam Generis 1 mg Comprimidos, 1 mg
Lorazepam Labesfal, 1 mg
Lorazepam Labesfal, 2.5 mg
Lorazepam Pharmakern, 1 mg
Lorazepam Pharmakern, 2.5 mg
Lorazepam Vitória, 1 mg
Lorazepam Vitória, 2.5 mg
Lorenin, 1 mg
Lorenin, 2.5 mg
Loride, 2 mg
Lorsedal, 1 mg
Lorsedal, 2.5 mg
Lorsedal, 5 mg
Lorzida, 100 mg + 12.5 mg
Lorzida, 100 mg + 25 mg
Lorzida, 50 mg + 12.5 mg
Losarbio, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Almus, 100 mg + 25 mg
Losartan + Hidroclorotiazida Almus, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Alter 50 mg + 12,5 mg Comprimidos, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Alter, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Alter, 100 mg + 25 mg
Losartan + Hidroclorotiazida Atral, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Aurobindo, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Aurobindo, 100 mg + 25 mg
Losartan + Hidroclorotiazida Aurobindo, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Aurovitas, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Aurovitas, 100 mg + 25 mg
Losartan + Hidroclorotiazida Aurovitas, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Azevedos 50 mg + 12,5 mg Comprimidos, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Basi, 100 mg + 25 mg
Losartan + Hidroclorotiazida Basi, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Bluepharma, 100 mg + 25 mg
Losartan + Hidroclorotiazida Bluepharma, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Ciclum, 100 mg + 25 mg
Losartan + Hidroclorotiazida Ciclum, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Cotiasar, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Cotiasar, 100 mg + 25 mg
Losartan + Hidroclorotiazida Cotiasar, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Daquimed, 100 mg + 25 mg
Losartan + Hidroclorotiazida Daquimed, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Eplit, 100 mg + 25 mg
Losartan + Hidroclorotiazida Eplit, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Farmoz, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Farmoz, 100 mg + 25 mg
Losartan + Hidroclorotiazida Farmoz, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Generis Phar, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Generis Phar, 100 mg + 25 mg
Losartan + Hidroclorotiazida Generis Phar, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Generis, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Generis, 100 mg + 25 mg
Losartan + Hidroclorotiazida Generis, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida GP 50 mg + 12,5 mg Comprimidos, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Hicortal, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Hicortal, 100 mg + 25 mg
Losartan + Hidroclorotiazida Hicortal, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Jaba 50 mg + 12,5 mg Comprimidos revestidos, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Jaba, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Jaba, 100 mg + 25 mg
Losartan + Hidroclorotiazida KRKA 50 mg + 12,5 mg Comprimidos, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Krka, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Krka, 100 mg + 25 mg
Losartan + Hidroclorotiazida Labesfal, 100 mg + 25 mg
Losartan + Hidroclorotiazida Labesfal, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Mepha 50 mg + 12,5 mg Comprimidos revestidos, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Mepha, 100 mg + 25 mg
Losartan + Hidroclorotiazida Mylan, 100 mg + 25 mg
Losartan + Hidroclorotiazida Mylan, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Pharmakern, 100 mg + 25 mg
Losartan + Hidroclorotiazida Pharmakern, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Ratiopharm, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Ratiopharm, 100 mg + 25 mg
Losartan + Hidroclorotiazida Ratiopharm, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Rominguer, 100 mg + 25 mg
Losartan + Hidroclorotiazida Rominguer, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Sandoz, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Sandoz, 100 mg + 25 mg
Losartan + Hidroclorotiazida Sandoz, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Sanofi, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Sintano, 100 mg + 25 mg
Losartan + Hidroclorotiazida Sintano, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Stada, 100 mg + 25 mg
Losartan + Hidroclorotiazida Stada, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Tecnigen, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Tecnigen, 100 mg + 25 mg
Losartan + Hidroclorotiazida Tecnigen, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Tetrafarma, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Tetrafarma, 100 mg + 25 mg
Losartan + Hidroclorotiazida Tetrafarma, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Teva, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida Teva, 100 mg + 25 mg
Losartan + Hidroclorotiazida Teva, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida ToLife, 100 mg + 12.5 mg
Losartan + Hidroclorotiazida toLife, 100 mg + 25 mg
Losartan + Hidroclorotiazida toLife, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Vitória, 100 mg + 25 mg
Losartan + Hidroclorotiazida Vitória, 50 mg + 12.5 mg
Losartan + Hidroclorotiazida Zentiva, 100 mg + 25 mg
Losartan + Hidroclorotiazida Zentiva, 50 mg + 12.5 mg
Losartan 1Apharma, 100 mg
Losartan 1Apharma, 50 mg
Losartan Almus, 100 mg
Losartan Almus, 50 mg
Losartan Alter, 100 mg
Losartan Alter, 50 mg
Losartan Aristo, 100 mg
Losartan Aristo, 12.5 mg
Losartan Aristo, 25 mg
Losartan Aristo, 50 mg
Losartan Atral, 100 mg
Losartan Atral, 50 mg
Losartan Aurobindo, 100 mg
Losartan Aurobindo, 25 mg
Losartan Aurobindo, 50 mg
Losartan Aurovitas, 100 mg
Losartan Aurovitas, 50 mg
Losartan Azevedos, 100 mg
Losartan Azevedos, 50 mg
Losartan Basi, 100 mg
Losartan Basi, 12.5 mg
Losartan Basi, 50 mg
Losartan Bluepharma, 100 mg
Losartan Bluepharma, 50 mg
Losartan Ciclum, 100 mg
Losartan Ciclum, 50 mg
Losartan Daquimed, 100 mg
Losartan Daquimed, 12.5 mg
Losartan Daquimed, 50 mg
Losartan Farmoz, 100 mg
Losartan Farmoz, 50 mg
Losartan Generis, 100 mg
Losartan Generis, 50 mg
Losartan GP, 100 mg
Losartan GP, 50 mg
Losartan Jaba, 100 mg
Losartan Jaba, 50 mg
Losartan KRKA 50 mg Comprimidos, 50 mg
Losartan Krka, 100 mg
Losartan Labesfal, 100 mg
Losartan Labesfal, 50 mg
Losartan Lazulide, 100 mg
Losartan Lazulide, 50 mg
Losartan Limeg, 100 mg
Losartan Limeg, 50 mg
Losartan Mepha, 100 mg
Losartan Mepha, 50 mg
Losartan Mylan, 100 mg
Losartan Mylan, 50 mg
Losartan Pharmakern, 100 mg
Losartan Pharmakern, 50 mg
Losartan Ratiopharm, 100 mg
Losartan Ratiopharm, 50 mg
Losartan Rominguer, 100 mg
Losartan Rominguer, 50 mg
Losartan Sandoz, 100 mg
Losartan Sandoz, 50 mg
Losartan Sartal, 100 mg
Losartan Sartal, 50 mg
Losartan Tecnigen, 100 mg
Losartan Tecnigen, 50 mg
Losartan Tetrafarma, 100 mg
Losartan Tetrafarma, 50 mg
Losartan Tiasar, 100 mg
Losartan Tiasar, 50 mg
Losartan ToLife, 100 mg
Losartan ToLife, 50 mg
Losartan Vitória, 100 mg
Losartan Vitória, 50 mg
Losartan Wynn, 100 mg
Losartan Wynn, 12.5 mg
Losartan Wynn, 25 mg
Losartan Wynn, 50 mg
Losartan Zentiva, 100 mg
Losartan Zentiva, 50 mg
Losec, 20 mg
Los-u-fen, 200 mg
Los-u-fen, 400 mg
Lovastatina Azevedos, 10 mg
Lovastatina Azevedos, 20 mg
Lovastatina Azevedos, 40 mg
Lovastatina Generis, 20 mg
Lovastatina Generis, 40 mg
Lovastatina Germed 20 mg Comprimidos, 20 mg
Lovastatina Jaba 20 mg comprimidos, 20 mg
Lovastatina Labesfal 20 mg Comprimidos, 20 mg
Lovastatina Sandoz, 20 mg
Lovenox, 100 mg/1 ml
Lovenox, 120 mg/0.8 ml
Lovenox, 150 mg/1 ml
Lovenox, 20 mg/0.2 ml
Lovenox, 40 mg/0.4 ml
Lovenox, 60 mg/0.6 ml
Lovenox, 80 mg/0.8 ml
Lovos, 1000 mg
Lovos, 250 mg
Lovos, 500 mg
Loxoprel, 2.5 mg
Ludiomil, 25 mg
Ludiomil, 50 mg
Ludiomil, 75 mg
Lukair, 10 mg
Lumigan, 0.1 mg/ml
Lumigan, 0.3 mg/ml
Luminal, 100 mg
Luminaletas, 15 mg
Lutenyl, 5 mg
Lutrate Depot, 3.75 mg/2 ml
Luveris, 75 U.I./1 ml
Lyrica, 100 mg
Lyrica, 150 mg
Lyrica, 200 mg
Lyrica, 225 mg
Lyrica, 25 mg
Lyrica, 300 mg
Lyrica, 50 mg
Lyrica, 75 mg
Lyxumia, (10 µg/0.2 ml)+(20 µg/0.2 ml)
Lyxumia, 10 µg/0.2 ml
Lyxumia, 20 µg/0.2 ml
Maalox Plus, 200 mg + 200 mg + 26.25 mg
Macifen, 8.75 mg
Macrogol Ebeling & Assoc., 10000 mg
Macrogol Generis, 10000 mg
Macrogol Generis, 4000 mg
Macropen, 50 mg/ml
Macropen, 500 mg
Madécassol, 10 mg/g
Madécassol, 30 mg
Madopar HBS, 100 mg + 25 mg
Madopar, 200 mg + 50 mg
Magnesiocard, 1229.6 mg
Magnesona, 1500 mg/10 ml
Magnespasmil, 500 mg
Magnoral, 1028.4 mg/10 ml
Magolac, Associação
Maiorad, 200 mg
Maizar Diskus, 100 µg/dose + 50 µg/dose
Maizar Diskus, 250 µg/dose + 50 µg/dose
Maizar Diskus, 500 µg/dose + 50 µg/dose
Malarone, 250 mg + 100 mg
Maleato de Enalapril Mylan, 20 mg
Maleato de Enalapril Mylan, 5 mg
Maltofer, 357 mg/5 ml
Manitol 10% Labesfal, 100 mg/ml
Manitol 20% Labesfal, 200 mg/ml
Mantai, 20 mg/ml
Mantai, 50 mg/ml
Maprotilina Ratiopharm 25 mg Comprimidos Revestidos, 25 mg
Maprotilina Ratiopharm 50 mg Comprimidos Revestidos, 50 mg
Maprotilina Ratiopharm 75 mg Comprimidos Revestidos, 75 mg
Marixino, 10 mg
Marixino, 20 mg
Marvelon, 0.15 mg + 0.03 mg
Massagim, 28.57 mg/g
Maxalt, 10 mg
Maxfluor, 2 mg/ml
Maxilase, 200 U.CEIP/ml
Maxilase, 3000 U.CEIP
Maxipime, 1000 mg
Maxius, 0.5 mg/ml
Maxius, 5 mg
Mebocaína Anti-Inflam, 0.24 mg/ml + 1.5 mg/ml
Mebocaína Anti-Inflam, 1.2 mg + 3 mg
Mebocaína Anti-Inflam, 6 mg/ml + 1.5 mg/ml
Mebocaína Forte, 4 mg + 1 mg + 0.2 mg
Mebocatuss, 2 mg/ml + 0.5 mg/ml
Medalginan, 50 mg/g
Medifolin, 15 mg
Medikinet, 10 mg
Medikinet, 20 mg
Medikinet, 30 mg
Medikinet, 40 mg
Medikinet, 5 mg
Medipax, 10 mg
Medipax, 15 mg
Medipax, 5 mg
Medrol, 16 mg
Medrol, 4 mg
Megace, 40 mg/ml
Megestrol Generis, 160 mg
